Date,Open,Close,Highest,Lowest
2019-04-23,51.1075,51.87,51.9375,50.975
2019-04-24,51.84,51.79,52.12,51.7625
2019-04-25,51.7075,51.32,51.94,51.28
2019-04-26,51.225,51.075,51.25,50.53
2019-04-29,51.1,51.1525,51.4925,50.965
2019-04-30,50.765,50.1675,50.85,49.7775
2019-05-01,52.47,52.63,53.8275,52.3075
2019-05-02,52.46,52.2875,53.1625,52.0325
2019-05-03,52.7225,52.9375,52.96,52.5575
2019-05-06,51.0725,52.12,52.21,50.875
2019-05-07,51.47,50.715,51.854375,50.20625
2019-05-08,50.475,50.725,51.335,50.4375
2019-05-09,50.1,50.18,50.42,49.165
2019-05-10,49.35475,49.295,49.7125,48.1925
2019-05-13,46.9275,46.43,47.37,45.7125
2019-05-14,46.6025,47.165,47.425,46.3525
2019-05-15,46.5675,47.73,47.9375,46.505
2019-05-16,47.4775,47.52,48.117225,47.21
2019-05-17,46.7325,47.25,47.725,46.69
2019-05-20,45.88,45.7725,46.08725,45.070975
2019-05-21,46.305,46.65,47.0,46.175
2019-05-22,46.165,45.695,46.4275,45.6375
2019-05-23,44.95,44.915,45.135,44.4525
2019-05-24,45.05,44.7425,45.535,44.655
2019-05-28,44.73,44.5575,45.1475,44.4775
2019-05-29,44.105,44.345,44.8375,44.0
2019-05-30,44.4875,44.575,44.8075,44.1675
2019-05-31,44.0575,43.7675,44.4975,43.7475
2019-06-03,43.9,43.325,44.48,42.5675
2019-06-04,43.86,44.91,44.9575,43.63
2019-06-05,46.07,45.635,46.2475,45.285
2019-06-06,45.77,46.305,46.3675,45.537225
2019-06-07,46.6275,47.5375,47.98,46.4425
2019-06-10,47.9525,48.145,48.8425,47.905
2019-06-11,48.715,48.7025,49.0,48.4
2019-06-12,48.4875,48.5475,48.9925,48.34625
2019-06-13,48.675,48.5375,49.1975,48.4
2019-06-14,47.88625,48.185,48.396575,47.575
2019-06-17,48.225,48.4725,48.74,48.0425
2019-06-18,49.0125,49.6125,50.0725,48.8025
2019-06-19,49.92,49.4675,49.97,49.3275
2019-06-20,50.0925,49.865,50.1525,49.5075
2019-06-21,49.7,49.695,50.2125,49.5375
2019-06-24,49.635,49.645,50.04,49.5425
2019-06-25,49.6075,48.8925,49.815,48.8225
2019-06-26,49.4425,49.95,50.2475,49.3375
2019-06-27,50.0725,49.935,50.3925,49.8925
2019-06-28,49.67,49.48,49.87375,49.2625
2019-07-01,50.7925,50.3875,51.1225,50.1625
2019-07-02,50.3525,50.6825,50.783075,50.34
2019-07-03,50.82,51.1025,51.11,50.672525
2019-07-05,50.8375,51.0575,51.27,50.725
2019-07-08,50.2025,50.005,50.35,49.6025
2019-07-09,49.8,50.31,50.3775,49.7025
2019-07-10,50.4625,50.8075,50.9325,50.39
2019-07-11,50.8275,50.4375,51.0975,50.4275
2019-07-12,50.6125,50.825,51.0,50.55
2019-07-15,51.0225,51.3025,51.4675,51.0
2019-07-16,51.1475,51.125,51.5275,50.875
2019-07-17,51.0125,50.8375,51.272875,50.8175
2019-07-18,51.0,51.415,51.47,50.925
2019-07-19,51.4475,50.6475,51.625,50.59
2019-07-22,50.9125,51.805,51.8075,50.9025
2019-07-23,52.115,52.21,52.2275,51.8225
2019-07-24,51.9175,52.1675,52.2875,51.7925
2019-07-25,52.2225,51.755,52.31,51.6825
2019-07-26,51.87,51.935,52.4325,51.785
2019-07-29,52.115,52.42,52.66,52.11
2019-07-30,52.19,52.195,52.54,51.8275
2019-07-31,54.105,53.26,55.3425,52.825
2019-08-01,53.475,52.1075,54.5075,51.685875
2019-08-02,51.3825,51.005,51.6075,50.4075
2019-08-05,49.4975,48.335,49.66225,48.145
2019-08-06,49.0775,49.25,49.51675,48.51
2019-08-07,48.8525,49.76,49.89,48.455
2019-08-08,50.05,50.8575,50.8825,49.8475
2019-08-09,50.325,50.2475,50.69,49.8225
2019-08-12,49.905,50.12,50.5129,49.7875
2019-08-13,50.255,52.2425,53.035,50.2075
2019-08-14,50.79,50.6875,51.61,50.646725
2019-08-15,50.865,50.435,51.285,49.9175
2019-08-16,51.07,51.625,51.79,50.96
2019-08-19,52.655,52.5875,53.182675,52.50625
2019-08-20,52.72,52.59,53.3375,52.58
2019-08-21,53.2475,53.16,53.4125,52.9008
2019-08-22,53.2975,53.115,53.60875,52.6875
2019-08-23,52.3575,50.66,53.01275,50.25
2019-08-26,51.465,51.6225,51.7975,51.264325
2019-08-27,51.965,51.04,52.1375,50.8825
2019-08-28,51.025,51.3825,51.43,50.83
2019-08-29,52.125,52.2525,52.33,51.66375
2019-08-30,52.54,52.185,52.6125,51.8
2019-09-03,51.6075,51.425,51.745,51.055
2019-09-04,52.0975,52.2975,52.37,51.83
2019-09-05,53.0,53.32,53.4925,52.8775
2019-09-06,53.5125,53.315,53.605,53.1275
2019-09-09,53.71,53.5425,54.11,52.7675
2019-09-10,53.465,54.175,54.195,52.9275
2019-09-11,54.5175,55.8975,55.9275,54.4325
2019-09-12,56.2,55.77125,56.605,55.715
2019-09-13,55.0,54.6875,55.1975,54.255
2019-09-16,54.4325,54.975,55.0325,54.39
2019-09-17,54.99,55.175,55.205,54.78
2019-09-18,55.265,55.6925,55.7125,54.86
2019-09-19,55.5025,55.24,55.94,55.0925
2019-09-20,55.345,54.4325,55.64,54.36825
2019-09-23,54.7375,54.68,54.96,54.4125
2019-09-24,55.2575,54.42,55.6225,54.2975
2019-09-25,54.6375,55.2575,55.375,54.28505
2019-09-26,55.0,54.9725,55.235,54.7075
2019-09-27,55.135,54.705,55.24,54.32035
2019-09-30,55.225,55.9925,56.145,55.1975
2019-10-01,56.2675,56.1475,57.055,56.05
2019-10-02,55.765,54.74,55.895,54.4825
2019-10-03,54.6075,55.205,55.24,53.783
2019-10-04,56.41,56.7525,56.8725,55.9725
2019-10-07,56.5675,56.765,57.4825,56.46
2019-10-08,56.455,56.1,57.015,56.0825
2019-10-09,56.7575,56.7575,56.9475,56.41
2019-10-10,56.9825,57.5225,57.61,56.825
2019-10-11,58.2375,59.0525,59.41,58.076875
2019-10-14,58.725,58.9675,59.53355,58.667525
2019-10-15,59.0975,58.83,59.4125,58.72
2019-10-16,58.3425,58.5925,58.81,58.3
2019-10-17,58.7725,58.82,59.0375,58.38
2019-10-18,58.6475,59.1025,59.395,58.5725
2019-10-21,59.38,60.1275,60.2475,59.33
2019-10-22,60.29,59.99,60.55,59.90545
2019-10-23,60.525,60.795,60.81,60.305
2019-10-24,61.1275,60.895,61.2,60.45125
2019-10-25,60.79,61.645,61.6825,60.72
2019-10-28,61.855,62.2625,62.3125,61.68
2019-10-29,62.2425,60.8225,62.4375,60.6425
2019-10-30,61.19,60.815,61.325,60.3025
2019-10-31,61.81,62.19,62.2925,59.315
2019-11-01,62.385,63.955,63.9825,62.29
2019-11-04,64.3325,64.375,64.46125,63.845
2019-11-05,64.2625,64.2825,64.5475,64.08
2019-11-06,64.1925,64.31,64.3725,63.84125
2019-11-07,64.685,64.8575,65.0875,64.5275
2019-11-08,64.6725,65.035,65.11,64.2125
2019-11-11,64.575,65.55,65.6175,64.57
2019-11-12,65.3875,65.49,65.6975,65.23
2019-11-13,65.2825,66.1175,66.195,65.2675
2019-11-14,65.9375,65.66,66.22,65.525
2019-11-15,65.92,66.44,66.445,65.7525
2019-11-18,66.45,66.775,66.8575,66.0575
2019-11-19,66.975,66.5725,67.0,66.34815
2019-11-20,66.385,65.7975,66.52075,65.1
2019-11-21,65.9225,65.5025,66.00125,65.295
2019-11-22,65.6475,65.445,65.795,65.21
2019-11-25,65.6775,66.5925,66.61,65.63
2019-11-26,66.735,66.0725,66.79,65.625
2019-11-27,66.395,66.96,66.995,66.3275
2019-11-29,66.65,66.8125,67.0,66.475
2019-12-02,66.8175,66.04,67.0625,65.8625
2019-12-03,64.5775,64.8625,64.8825,64.0725
2019-12-04,65.2675,65.435,65.8275,65.17
2019-12-05,65.9475,66.395,66.4725,65.6825
2019-12-06,66.87,67.6775,67.75,66.825
2019-12-09,67.5,66.73,67.7,66.2275
2019-12-10,67.15,67.12,67.5175,66.465
2019-12-11,67.2025,67.6925,67.775,67.125
2019-12-12,66.945,67.865,68.139975,66.83025
2019-12-13,67.865,68.7875,68.825,67.7325
2019-12-16,69.25,69.965,70.1975,69.245
2019-12-17,69.8925,70.1025,70.4425,69.7
2019-12-18,69.95,69.935,70.475,69.78
2019-12-19,69.875,70.005,70.295,69.7375
2019-12-20,70.5575,69.86,70.6625,69.64
2019-12-23,70.1325,71.0,71.0625,70.093375
2019-12-24,71.1725,71.0675,71.2225,70.729925
2019-12-26,71.205,72.4775,72.495,71.175
2019-12-27,72.78,72.45,73.4925,72.03
2019-12-30,72.365,72.88,73.1725,71.305
