date,daily_weighted_avg,Category
20230811,0.1658882962962963,APPLE Inc
20230812,0.14735633333333334,APPLE Inc
20230813,0.24334433333333336,APPLE Inc
20230814,0.10945084,APPLE Inc
20230815,0.17059255555555555,APPLE Inc
20230816,0.1851294074074074,APPLE Inc
20230817,0.14359558441558443,APPLE Inc
20230818,0.10409291578947366,APPLE Inc
20230819,0.2314622857142857,APPLE Inc
20230820,0.23790020000000003,APPLE Inc
20230821,0.1275719655172414,APPLE Inc
20230822,0.1887110847457627,APPLE Inc
20230823,0.20659814285714287,APPLE Inc
20230824,0.1720368108108108,APPLE Inc
20230901,0.16658070149253734,APPLE Inc
20230902,0.215613,APPLE Inc
20230903,0.14053225,APPLE Inc
20230904,0.1994881666666667,APPLE Inc
20230905,0.15118648837209303,APPLE Inc
20230906,0.0684286153846154,APPLE Inc
20230907,0.05031446808510639,APPLE Inc
20230908,0.10922788079470197,APPLE Inc
20230909,0.07002823076923076,APPLE Inc
20230910,0.09063019047619048,APPLE Inc
20230911,0.14688514035087719,APPLE Inc
20230912,0.17328473333333336,APPLE Inc
20230913,0.1282144861111111,APPLE Inc
20230914,0.10671397391304346,APPLE Inc
20230915,0.16571476699029125,APPLE Inc
20230916,0.24027985714285713,APPLE Inc
20230917,0.22321166666666667,APPLE Inc
20230918,0.16495062857142861,APPLE Inc
20230919,0.12078511475409835,APPLE Inc
20230920,0.16165338805970153,APPLE Inc
20230921,0.13038099999999997,APPLE Inc
20231101,0.12611986666666666,APPLE Inc
20231102,0.11939694230769235,APPLE Inc
20231103,0.1679852393162393,APPLE Inc
20231104,0.1479633846153846,APPLE Inc
20231105,0.10841559999999999,APPLE Inc
20231106,0.1715828857142857,APPLE Inc
20231107,0.11774850000000002,APPLE Inc
20231108,0.19045772972972974,APPLE Inc
20231109,0.15448521875,APPLE Inc
20231110,0.14783536111111112,APPLE Inc
20231111,0.14758616666666666,APPLE Inc
20231112,0.17724292307692305,APPLE Inc
20231113,0.17815766666666666,APPLE Inc
20231114,0.15799007058823528,APPLE Inc
20231115,0.16215063636363639,APPLE Inc
20231116,0.16411346666666665,APPLE Inc
20231117,0.15477710843373496,APPLE Inc
20231118,0.07970046153846154,APPLE Inc
20231119,0.22291179999999997,APPLE Inc
20231120,0.15760257777777775,APPLE Inc
20231121,0.1421384,APPLE Inc
20231122,0.169390625,APPLE Inc
20231123,0.16715707692307694,APPLE Inc
20231124,0.20525098550724638,APPLE Inc
20231125,0.17209116666666668,APPLE Inc
20231126,0.336897,APPLE Inc
20231127,0.1782038571428571,APPLE Inc
20231128,0.2242579090909091,APPLE Inc
20231129,0.136787625,APPLE Inc
20240101,0.14916516666666665,APPLE Inc
20240102,0.1433256285714286,APPLE Inc
20240103,0.12772428571428573,APPLE Inc
20240104,0.14541003896103893,APPLE Inc
20240105,0.15392514285714287,APPLE Inc
20240106,0.08953884210526315,APPLE Inc
20240107,0.09030053333333334,APPLE Inc
20240108,0.20689011111111108,APPLE Inc
20240109,0.16293768181818183,APPLE Inc
20240110,0.15879588235294118,APPLE Inc
